ID,Name,Price,Processor,Number of USB 3.0 Ports,Number of Processors,Computer Memory Type,Hard Drive Interface,Bluetooth,Wireless_Year,Numeric_Release_Date,Numeric_Display_Size,Resolution_Width,Resolution_Height,Numeric_RAM,Numeric_Memory_Speed,Numeric_Drive_Capacity,Drive_Type,Numeric_Battery_Capacity,Numeric_Battery_Life,Clean_Brand,Clean_Series,Clean_Operating_System,Lithium_Battery_Technology,Clean_Processor_Type,Numeric_Processor_Speed,Height,Depth,Width,Clean_Processor_Brand,Numeric_Flash_Size,Clean_Optical_Drive,Graphics_Coprocessor_Category,Chipset_Category,Integrated_Graphics,Color_Category,Number_of_Color_words,Numeric_Weight
B001P9CZ9O,"Dell Latitude D830 15.4"" Laptop (Intel Core 2 Duo 2.0Ghz, 120GB Hard Drive, 2048Mb RAM, DVDRW Drive, XP Profesional)",131.68,2.2 GHz Core_2_Duo,,2.0,DDR2 SDRAM,ethernet,False,2008.0,1223510400.0,15.4,,,2.0,2400.0,80000000.0,,,,dell,latitude,windows xp,lithium ion,,2.2,2.0,10.0,14.0,intel,1.0,,intel,intel,True,gray,1.0,6.0
B002AGUOCG,"Dell Latitude D420 12"" Laptop Core Duo 1.2Ghz 1GB RAM",99.0,1.2 GHz intel_core_duo,,1.0,DDR2 SDRAM,ata100,False,2003.0,1242691200.0,12.1,1280.0,800.0,1.0,533.0,60000000.0,,,,dell,latitude,windows xp,,,1.2,1.0,8.5,11.6,intel,,,,intel,False,gray,1.0,12.0
B002UIVK0E,"Dell E5400 Latitude 14-Inch Laptop (Dual Core 2.53 Ghz CPU, 2GB RAM, 160GB Hard Drive, DVD-RW)",139.99,2.66 GHz intel_celeron_d,,2.0,SDRAM,serial ata,False,1999.0,1134950400.0,14.1,,,2.0,2200.0,160000000.0,,,,dell,latitude,windows xp,lithium ion,celeron,2.66,1.5,9.61,13.31,intel,,,,intel,True,,1.0,5.5
B003SDWQEY,Dell Latitude D430 Core 2 Duo Laptop with XP,103.0,1.2 GHz,,2.0,DDR2 SDRAM,,False,1999.0,1276646400.0,12.1,1280.0,800.0,1.0,,60000000.0,,,6.0,dell,latitude,windows xp,,,1.2,4.0,12.0,16.0,intel,1.0,,,intel,True,black,3.0,7.33
B003V8SE4W,"Dell Latitude E6510 Notebook - Core i5 i5-520M 2.40 GHz - 15.6"" - Silver 2 GB DDR3 SDRAM - 320 GB HDD - DVD-Writer - Gigabit Ethernet, Wi-Fi, Bluetooth - Windows 7 Professional",199.95,2.4 GHz core_i5,,1.0,DDR3 SDRAM,,True,,1256169600.0,15.6,,,4.0,,250000000.0,HDD,,,dell,,windows 7,,i5,2.4,,,,intel,,,nvidia,nvidia,True,silver,1.0,5.53
B004LSGPME,"LENOVO THINKPAD SL410 LAPTOP LCD SCREEN 14.0"" WXGA HD LED DIODE (SUBSTITUTE REPLACEMENT LCD SCREEN ONLY. NOT A LAPTOP )",47.47,,,,,,False,,1307491200.0,14.0,1366.0,768.0,,,,,,,lenovo,,,,,,0.28,1.0,12.0,,,,,,,,,0.5
B004NP8ARI,"Lenovo Ideapad G560 Replacement LAPTOP LCD Screen 15.6"" WXGA HD LED DIODE (Substitute Replacement LCD Screen Only. Not a Laptop ) (HT156WXB-100)",51.05,,,,,,False,,1307491200.0,15.6,1366.0,768.0,,,,,,,lenovo,,,,,,1.5,10.5,17.5,,,,,,,,,0.7
B004TSJFBO,"HP G72-B66US LAPTOP LCD SCREEN 17.3"" WXGA++ LED DIODE (SUBSTITUTE REPLACEMENT LCD SCREEN ONLY. NOT A LAPTOP )",64.43,,,,,,False,,1302307200.0,17.3,1600.0,900.0,,,,,,,hp,,,,,,0.36,1.0,15.75,,,,,,,,,0.7
B004UU89TU,Dell Latitude E6420 14-inch Notebook 2.50 GHz Intel Core i5 i5-2520M Processor 320GB 4GB Windows 7 Professional,119.44,2.5 GHz core_i5,,2.0,DDR3 SDRAM,serial ata,False,2003.0,1301702400.0,14.0,,,4.0,1333.0,320000000.0,HDD,,0.5,dell,latitude,windows 7,,i5,2.5,8.0,14.0,17.0,intel,,,intel,intel,True,black,1.0,4.56
B004VC3NM0,Dell Latitude D630 + Windows 7 notebook laptop computer,123.0,2 GHz intel_core_2_duo,,2.0,SDRAM,serial ata-300,False,,1302048000.0,14.1,1280.0,800.0,2.0,,80000000.0,HDD,,3.0,dell,latitude,windows 7,,,2.0,2.0,9.0,13.0,intel,,,intel,intel,True,,2.0,2.95
