page.status_code,ID,Name,Price,Release_Date,Standing screen display size,Screen Resolution,Max Screen Resolution,Processor,RAM,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 3.0 Ports,Average Battery Life (in hours),Brand,Series,Item model number,Hardware Platform,Operating System,Item Weight,Product Dimensions,Item Dimensions LxWxH,Color,Processor Brand,Number of Processors,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Optical Drive Type,Power Source,Batteries
200,B08B6F1NNR,"Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Almond",$368.00,"June 15, 2020",15.6 Inches,,1366 x 768 Pixels,3 GHz core_i3,8 GB DDR4,3.4 GHz,256 GB SSD,Intel UHD Graphics,Intel,Integrated,Bluetooth,,7 Hours,Lenovo,IdeaPad 3 81X800ENUS,Ideapad,PC,Windows 11,4.07 pounds,16.3 x 11.2 x 1 inches,,Almond,Intel,2,DDR4 SDRAM,256 GB,PCIE x 4,No dvd,Battery Powered,1 Lithium Ion batteries required.
200,B0BMTSP4X4,"Lenovo Ideapad 1i Thin Light Laptop, 14.0"" HD Display, Intel Celeron N4020(up to 2.80 GHz), 4GB RAM, 64GB eMMC + 128GB PCIe SSD, WiFi 6, Webcam, 10Hr Battery, Windows 11 S, Cloud Grey",$219.00,"November 18, 2022",14,,1366 x 768 Pixels,2.8 GHz celeron_n4020,4 GB DDR4,1.1 GHz,,Intel UHD Graphics,Intel,,"Bluetooth, 802.11ax",2,10 Hours,Lenovo,Lenovo Ideapad 1i,Lenovo Ideapad 1i,,Windows 11 S,4.39 pounds,12.81 x 0.7 x 8.52 inches,,Silver,Intel,2,,64 GB,,No Optical Device,,1 Lithium Ion batteries required.
200,B09VZR2BGN,"HP Newest 14"" HD Laptop, Windows 11, Intel Celeron Dual-Core Processor Up to 2.60GHz, 4GB RAM, 64GB SSD, Webcam, Dale Pink(Renewed) (Dale Blue)",$202.00,"March 19, 2022",14 Inches,,1366 x 768 Pixels,2.6 GHz celeron,4 GB DDR4,2.6 GHz,64 GB SSD,Intel,Intel,Integrated,"Bluetooth, 802.11a",3,,HP,HP 14inch Laptop,"HP 14"" Laptop",PC,Windows 11,4.49 pounds,12.9 x 8.9 x 0.9 inches,,Dale Blue,Intel,2,DDR4 SDRAM,,Solid State,No Optical Sotrage Device,,1 Lithium Ion batteries required. (included)
200,B081V6W99V,"ASUS Laptop L210 11.6” ultra thin, Intel Celeron N4020 Processor, 4GB RAM, 64GB eMMC storage, Windows 10 Home in S mode with One Year of Office 365 Personal, L210MA-DB01",$140.00,"October 5, 2020",11.6 Inches,,1366X768 Pixels,2.8 GHz celeron_n4020,4 GB DDR3,2.8 GHz,64 GB Emmc,Intel UHD Graphics 600,Intel,Integrated,802.11ac,,12 Hours,ASUS,ASUS L210,L210MA-DB01,PC,Windows 10 S,2.31 pounds,11 x 7.5 x 0.67 inches,,Black,Intel,2,DDR4 SDRAM,64 GB,USB,No Optical Drive,Battery Powered,1 Lithium Metal batteries required. (included)
200,B09V273F3C,"Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Platinum Grey",$366.88,"March 8, 2022",15.6 Inches,,1366 x 768 Pixels,3 GHz apple_ci3,8 GB DDR4,4.1 GHz,256 GB SSD,Intel UHD Graphics,Intel,Intel UHD Graphics,Bluetooth,2,7 Hours,Lenovo,Ideapad,,,Windows 11 Home,3.74 pounds,15 x 10 x 1 inches,,Platinum Grey,Intel,2,DDR4 SDRAM,8 GB,USB 3.2,No Optical Drive,Battery Powered,1 Lithium Ion batteries required. (included)
200,B08CQCSM7F,"HP 15.6in Laptop (Intel Pentium Quad-Core N5000, 4GB RAM, 128GB SSD, HDMI, WiFi, Bluetooth, HD Webcam, Windows 10 S) (Renewed)",$236.00,"July 9, 2020",15.6 Inches,,1366 x 768 Pixels,1.1 GHz pentium_N5000,4 GB DDR4,2.7 GHz,128 GB SSD,Intel,Intel,Integrated,Bluetooth,2,,HP,HP-15.6-RP,HP-15.6-RP,PC,Windows 10 Home,4.7 pounds,22 x 12 x 3 inches,,,Intel,4,DDR4 SDRAM,128 GB,Solid State,No Optical Drive,Corded Electric,1 Lithium Ion batteries required.
200,B0BPLYCY5V,"Lenovo IdeaPad 1i Laptop 14"" HD Display, Intel Pentium Silver N5030 Processor(4-Core, up to 3.1 GHz), 4GB RAM, 128GB NVMe SSD + 128GB eMMC, 10Hr Battery Life, Win 11 S w/1 Year Microsoft 365",$229.00,"December 9, 2022",14 Inches,,1366x768,1.1 GHz pentium,4 GB DDR4,3.1 GHz,128 GB SSD,Intel UHD Graphics 605,Intel,Integrated,Bluetooth,2,10 Hours,Lenovo,Lenovo IdeaPad 1,,PC,Windows 11 S,2.87 pounds,12.8 x 8.52 x 0.7 inches,,Silver,Intel,4,DDR4 SDRAM,128 GB,Solid State,No Optical,,
200,B08RPBG7G4,"2021 HP Stream 14"" HD SVA Laptop Computer, Intel Celeron N4000 Processor, 4GB RAM, 64GB eMMC Flash Memory, Webcam, 1-Year Office, Intel UHD Graphics 600, Win 10S, Rose Pink, 32GB SnowBell USB Card",$289.00,"September 30, 2020",14 Inches,,1366 x 768 Pixels,1.1 GHz celeron_n,4 GB DDR4,,64 GB,Intel UHD Graphics 600,Intel,Integrated,Bluetooth,,11 Hours,HP,HP,HP,PC,Windows 10 S,3.17 pounds,19 x 12 x 3 inches,,Pink,Intel,2,DDR4 SDRAM,64 GB,,,Battery Powered,
200,B09WG7MZ4P,"HP Laptop 14-dq0090tg 14"" Intel Pentium Silver N5030 Intel UHD Graphics 605 4 GB RAM 128 GB SSD W10 Home in S Mode BT Webcam Jet Black(Renewed)",$159.99,"March 24, 2022",14 Inches,,,,4 GB,,,Intel UHD Graphics 605,Intel,,,,10 Hours,HP,,,,Windows 10 Home,4.22 pounds,,,Jet Black,Intel,,,4 GB,,,,1 Lithium Polymer batteries required. (included)
200,B0BMWBF3B1,"Lenovo 15.6"" IdeaPad 1 Laptop, AMD Dual-core Processor, 15.6"" HD Anti-Glare Display, Wi-Fi 6 and Bluetooth 5.0, HDMI, Windows 11 Home in S Mode(20GB RAM | 1TB SSD)",$399.00,"November 18, 2022",15.6 Inches,,1366 x 768 Pixels,3.2 GHz athlon,20 GB DDR4,2666 MHz,1 TB SSD,AMD Radeon Graphics,AMD,Integrated,,,,Lenovo,IdeaPad,IdeaPad 1,PC,Windows 11,5.39 pounds,14.18 x 9.29 x 0.7 inches,,,AMD,2,DDR4 SDRAM,,PCIE x 4,No Optical Drive,,
