,page.status_code,ID,Name,Price,Release_Date,Standing screen display size,Screen Resolution,Max Screen Resolution,Processor,RAM,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 3.0 Ports,Average Battery Life (in hours),Brand,Series,Item model number,Hardware Platform,Operating System,Item Weight,Product Dimensions,Item Dimensions LxWxH,Color,Processor Brand,Number of Processors,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Optical Drive Type,Power Source,Batteries,200,B0B1L638D3,"HP Pavilion Laptop (2022 Model), 17.3"" FHD IPS Display, Intel Core i3-1115G4 Processor, 16GB RAM, 256GB PCIe SSD, 1TB HDD, Anti-Glare Screen, Long Battery Life, Webcam, HDMI, Bluetooth, Wi-Fi, Win 11",$589.00,"May 17, 2022",17.3 Inches,Unnamed: 6,1920 x 1080 Pixels,4.1 GHz core_i3,16 GB DDR4,2666 MHz,256 GB SSD,Intel UHD Graphics,Intel,Integrated,"Bluetooth, 802.11a/b/g/n/ac",Unnamed: 16,Unnamed: 17,HP,Pavilion,Pavilion.1,PC,Windows 11,6.89 pounds,Unnamed: 24,Unnamed: 25,Natural Silver,Intel.1,2,DDR4 SDRAM,256 GB,PCIE x 4,Unnamed: 32,Unnamed: 33,Unnamed: 34
0,200.0,B09DFFQTWY,"Dell G15 5511 Gaming Laptop - 15.6 inch 120Hz FHD 1080p Display - NVIDIA GeForce RTX 3060 6GB GDDR6, Intel Core i7-11800H, 16GB DDR4 RAM, 512GB SSD, Wi-Fi 6, Bluetooth 5.1, Windows 11 Home - Black","$1,399.99","September 1, 2021",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,4.6 GHz core_i7_family,16 GB DDR4,3200 MHz,512 GB SSD,NVIDIA GeForce RTX 3060,NVIDIA,RTX 3060,Bluetooth,3.0,,Dell,Dell G15 5511,G15-7736BLK-PUS,,Windows 11 Home,5.37 pounds,10.71 x 14.06 x 1.06 inches,,Black,Intel,8.0,DDR4 SDRAM,512 GB,Solid State,No Optical Drive,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,200.0,B081JC228Y,"HP 2020 17.3"" Laptop Computer/ 8th Gen Intel Quad-Core i5-8265U Up to 3.9GHz/ 8GB DDR4 RAM/ 256GB PCIe SSD/ DVD/ Bluetooth 4.2/ USB 3.1/ HDMI/ Windows 10 Home/ Black",$414.00,"November 15, 2019",17.3 Inches,1600x900,1600x900,1.6 GHz core_i5_family,8 GB DDR4,3.9 GHz,256 GB SSD,Intel UHD Graphics 620,Intel,Integrated,"802.11bgn, 802.11b, 802.11b/g",2.0,,HP,17-BY105,17-BY105,PC,Windows 10,5.2 pounds,16.33 x 10.72 x 0.96 inches,,Black,Intel,4.0,DDR4 SDRAM,256,Solid State,DVD-ROM,Battery Powered,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,200.0,B0B5G4J1VB,"2022 Dell Inspiron 15 3511 Laptop, Intel Core i7-1165G7 Processor, 15.6"" FHD Touchscreen, Webcam, HDMI, Windows 11 Home, Black (64GB RAM | 1TB SSD)","From $1,145.00","June 30, 2022",15 Inches,,1920x1080 Pixels,2 GHz core_i7,DDR4,,1 TB SSD,Intel Iris Xe Graphics,Intel,Integrated,,2.0,,Dell,Inspiron 15,3511,PC,Windows 11 Home,3.82 pounds,14.11 x 9.27 x 0.74 inches,,64GB RAM | 1TB SSD,Intel,4.0,DDR4 SDRAM,,Serial ATA,,AC & Battery,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,200.0,B09ZK4KXZK,"ASUS VivoBook S 15 Slim Laptop, 15.6"" FHD Display, AMD Ryzenâ„¢ 7 5800H CPU, AMD Radeon Graphics, 8GB RAM, 512GB SSD, Windows 11 Home, Fingerprint Reader, Indie Black, S3502QA-DS71",$764.59,"May 4, 2022",15.6 Inches,1920 x 1080 pixels,1920x1080 Pixels,4.4 GHz ryzen_7,8 GB DDR4,,512 GB SSD,AMD Radeon Graphics,AMD,AMD Radeon,,1.0,,ASUS,ASUS VivoBook S 15,S3502QA-DS71,,Windows 11 Home,3.75 pounds,14.17 x 9.17 x 0.74 inches,,Indie Black,AMD,8.0,DDR4 SDRAM,512 GB,,No Drive,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,200.0,B08XK1HZ66,"Lenovo Yoga 9i 14 2-in-1 14"" Touchscreen Laptop 4K UHD (3840x2160) IPS 500Nits Intel Evo Platform Core i7-1185G7 Webcam Wi-Fi 6 USB-C Thunderbolt 4 Iris Xe Graphics 16GB 512GB PCIe SSD Lenovo Pen","$1,209.78","February 25, 2021",14 Inches,,3840x2160 Pixels,4.8 GHz core_i7_family,16 GB DDR4,,512 GB SSD,Intel Iris Xe Graphics,Intel,Integrated,Bluetooth,,10 Hours,Lenovo,Yoga 9i,Yoga 9i,PC,Windows 10 Home,3.17 pounds,12.57 x 8.53 x 0.65 inches,,Shadow Black,Intel,4.0,DDR4 SDRAM,512 GB,Solid State,,Battery Powered,1 Lithium Ion batteries required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,200.0,B09WJR8TJ5,"Lenovo ThinkPad E15 Gen 2 Business Laptop 15.6"" FHD IPS Display Intel i7-1165G7 Iris Xe Graphics 32GB DDR4 1TB M.2 NVMe SSD Fingerprint Reader Backlit Keyboard WiFi 6 Windows 11 Pro","From $1,239.00","March 25, 2022",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,3 GHz intel_core_i7_1165g7,32 GB DDR4,,2 TB SSD,Intel Iris Xe Graphics,Intel,Integrated,802.11ax,3.0,,Lenovo,ThinkPad E15 Gen 2,20TD,PC,Windows 11 Pro,3.75 pounds,14.37 x 9.45 x 0.74 inches,,Black,Intel,4.0,DDR4 SDRAM,1 TB,PCIE x 4,,AC & Battery,1 Lithium Ion batteries required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,200.0,B07YWLS346,"2019 Dell Inspiron 3593 Laptop 15.6"", 10th Generation Core i7-1065G7 Processor, 1TB HDD 16GB DDR4 RAM, HDMI, WiFi, Bluetooth, Windows 10, Black",From $543.98,"October 9, 2019",15.6 Inches,,1920 x 1080 Pixels,2.6 GHz core_i7,16 GB DDR4,2666 MHz,1 TB HDD,Intel Iris Plus,Intel,Integrated,Bluetooth,,,Dell,Dell Inspiron 3593,,PC,Windows 10,6.29 pounds,5.63 x 3.9 x 0.31 inches,,,Intel,2.0,DDR4 SDRAM,1 TB,Serial ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,200.0,B0B1HWYSSR,"ASUS VivoBook 15.6'' FHD Touchscreen Thin and Light Laptop, 11th Gen Intel i5-1135G7 (> i7-1065G7), Intel Iris Xe, Backlit, Fingerprint, W/Stylus, Windows 10 Home, Gray (Black, 20GB | 512GB SSD)",$652.80,"May 17, 2022",15 Inches,,,4.2 GHz core_i5,20 GB DDR4,,SSD,,Intel,,Bluetooth,,5 Hours,ASUS,ASUS VivoBook,Vivobook 15,,Windows 10 Home,3.97 pounds,20 x 13 x 3 inches,,,Intel,4.0,DDR4 SDRAM,2 GB,USB 3.1,,"Corded Electric, Battery Powered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,200.0,B09MSRJ97Y,"Apple 2021 MacBook Pro (16-inch, M1 Pro chip with 10‑core CPU and 16‑core GPU, 32GB RAM, 512GB SSD) - Space Gray Z14V0016E","$2,899.00","November 30, 2021",16.2 Inches,,3840 x 2160 Pixels,3.2 GHz arm_7100,32 GB,,512 GB SSD,M1 Pro,Apple,Integrated,,,21 Hours,Apple,MacBook Pro,Z14V0016E,Mac,MacOS 12 Monterey,7.28 pounds,17.5 x 13 x 3.25 inches,,Space Gray,Apple,10.0,DDR DRAM,,Solid State,,Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,200.0,B088FTRQG7,"Lenovo V14-ARE 82DQ000PUS 14"" Notebook - 1920 x 1080 - Ryzen 5 4500U - 8 GB RAM - 256 GB SSD - Iron Gray - Windows 10 Pro 64-bit - AMD Radeon Graphics - Twisted nematic (TN) - English Keyboard -",$499.00,"May 11, 2020",14 Inches,1920 x 1080 pixels,1920 x 1080,2.3 GHz ryzen_5_4500u,8 GB DDR,2.3 GHz,256 GB HDD,AMD Radeon Graphics,AMD,Integrated,801.11ac,1.0,,Lenovo,"Lenovo V14-ARE 82DQ000PUS 14"" Notebook - 1920 x 1080 - Ryzen 5 4500U - 8 GB",82DQ000PUS,Windows,Windows 10 Pro,3.53 pounds,22 x 4 x 14 inches,,grey,AMD,6.0,DDR4 SDRAM,256,ATA-4,BD-R,Battery Powered,1 Lithium Ion batteries required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,200.0,B08SJT94PW,"ASUS ROG Strix Scar 15 (2021) Gaming Laptop, 15.6” 165Hz IPS QHD, NVIDIA GeForce RTX 3080, AMD Ryzen 9 5900HX, 32GB DDR4, 1TB SSD, Opti-Mechanical Per-Key RGB Keyboard, Windows 10 Pro, G533QS-XS98Q","$2,499.99","January 19, 2021",15.6 Inches,2560 x 1440 pixels,2560 x 1440 Pixels,4.6 GHz ryzen_9,32 GB DDR4,3200 MHz,1 TB SSD,NVIDIA GeForce RTX 3080,AMD,GeForce RTX 3080,"Bluetooth, 802.11ax",4.0,,ASUS,ROG Strix Scar 15,G533QS-XS98Q,PC,Windows 10 Pro,5.51 pounds,13.94 x 1.07 x 10.2 inches,,Black,AMD,8.0,DDR4 SDRAM,1 TB,,No Drive,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,200.0,B09SVSBVP1,"HP Chromebook 14 Laptop, Intel Celeron N4120, 4 GB RAM, 64 GB eMMC, 14"" HD Display, Chrome OS, Thin Design, 4K Graphics, Long Battery Life, Ash Gray Keyboard (14a-na0226nr, 2022, Mineral Silver)",$175.99,"March 6, 2022",14 Inches,1366 x 768,1366 x 768 Pixels,1.1 GHz celeron,4 GB DDR4,1.1 GHz,64 SSD,Intel UHD Graphics 600,Intel,Integrated,"802.11a/b/g/n/ac, Bluetooth",3.0,14 Hours,HP,Chromebook 14a-na0226nr,14a-na0226nr,,Chrome OS,3.24 pounds,12.82 x 8.6 x 0.7 inches,,Mineral Silver,Intel,4.0,DDR4 SDRAM,8 GB,,No Optical Storage Device,Battery Powered,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,200.0,B09Z7863KS,"HP Chromebook 14a-na1010ca 14"" Intel Celeron N4500 4GB 64 GB eMMC Chrome OS Mineral Silver(Renewed)",Unavailable,"April 29, 2022",14 Inches,,,2933 MHz celeron,4 GB DDR4,2400 MHz,SSD,,Intel,Integrated,,2.0,,HP,Intel Celeron N4500,370W8UA#ABL,,Chrome OS,4.29 pounds,12.82 x 8.6 x 0.7 inches,,,Intel,2.0,DDR4 SDRAM,,Solid State,DVD,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,200.0,B08945FMHD,"Lenovo Flex 5 14 2-in-1 Laptop, 14.0 FHD (1920 x 1080) Touch AMD Ryzen 5 4500U 16GB RAM 256GB SSD AMD Radeon Graphics, Windows 10 81X20005US Graphite Grey (Renewed)",$599.88,"May 24, 2020",14 Inches,,1920 x 1080 Pixels,2 GHz ryzen_5_4500u,16 GB DDR4,,256 GB SSD,AMD,AMD,Integrated,802.11ac,,10 Hours,Lenovo,"Flex 5 14""",81X20005US-cr,PC,Windows 10,3.63 pounds,12.66 x 8.56 x 0.82 inches,,Gray,AMD,8.0,DDR4 SDRAM,,Serial ATA,,Battery Powered,1 Lithium Ion batteries required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
