200,B0B1L638D3,"HP Pavilion Laptop (2022 Model), 17.3"" FHD IPS Display, Intel Core i3-1115G4 Processor, 16GB RAM, 256GB PCIe SSD, 1TB HDD, Anti-Glare Screen, Long Battery Life, Webcam, HDMI, Bluetooth, Wi-Fi, Win 11",$589.00,"May 17, 2022",17.3 Inches,,1920 x 1080 Pixels,4.1 GHz core_i3,16 GB DDR4,2666 MHz,256 GB SSD,Intel UHD Graphics,Intel,Integrated,"Bluetooth, 802.11a/b/g/n/ac",,,HP,Pavilion,Pavilion,PC,Windows 11,6.89 pounds,,,Natural Silver,Intel,2,DDR4 SDRAM,256 GB,PCIE x 4,,,
200,B095FRJ5XC,"Dell Latitude 9000 9520 15"" Touchscreen Convertible 2 in 1 Notebook - Full HD - 1920 x 1080 - Intel Core i5 11th Gen i5-1145G7 Quad-core (4 Core) 2.60 GHz - 16 GB RAM - 256 GB SSD - Anodized Titan","$1,524.26","May 19, 2021",15 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.6 GHz core_i5_family,16 GB LPDDR4X,2.6 GHz,256 GB SSD,Intel Iris Xe Graphics,Intel,Iris Xe Graphics,"Bluetooth, 802.11ax",,,Dell,Latitude 9000,9520,PC,Windows 10 Pro,3.3 pounds,0.58 x 8.5 x 13.4 inches,,Anodized Titan Gray,Intel,1,DDR4 SDRAM,256,,No,Battery Powered,
200,B0BDYFLJXV,"Lenovo Ideapad 3 Chromebook 11.6"" Light Laptop, Intel Celeron N4020 Dual-Core Processor, up to 2.80 GHz, 4GB RAM, 64GB eMMC + 64GB SD Card, WiFi 5, Webcam, 10 Hours Battery, Chrome OS, TGCD Bundle",$145.99,"September 12, 2022",11.6 Inches,,1366 x 768 Pixels,1 GHz celeron_n4020,4 GB DDR4,,64 GB SSD,Integrated,Intel,Integrated,"Bluetooth, 802.11ac",2,,Lenovo,Chromebook 3,,,Chrome OS,4 pounds,11.02 x 7.87 x 0.67 inches,,,Intel,2,,64 GB,Solid State,,,1 Lithium Ion batteries required. (included)
200,B082HZBDXH,"HP 2020 15.6"" Touchscreen Laptop Computer, Quad-Core AMD Ryzen 7 3700U up to 4.0GHz, 12GB DDR4 RAM, 256GB PCIe SSD, 802.11ac WiFi, Bluetooth 4.2, USB 3.1 Type-C, HDMI, Silver, Windows 10 Home",,"December 9, 2019",15.6 Inches,1366x768,1366 x 768,2.3 GHz amd_r_series,12 GB DDR4,2400 MHz,SSD,AMD Radeon RX Vega 10,AMD,Integrated,"802.11bgn, 802.11b, 802.11b/g, 802.11ac",,11.5 Hours,HP,15-ef,15-ef,PC,Windows 10,3.8 pounds,14.11 x 9.53 x 0.78 inches,,Natural Silver,AMD,4,DDR4 SDRAM,256,USB 3.1,No Optical Drive,"Corded Electric, Battery Powered",1 Lithium Ion batteries required. (included)
200,B09RJXN6TF,"HP 2022 Pavilion 15.6"" FHD Touchscreen Laptop 11th Gen 4-Core Intel i7-1195G7 16GB DDR4 512GB NVMe SSD Iris Xe Graphics HDMI Webcam WiFi-6 Bluetooth Backlit Keyboard Windows 11 Pro w/ 32GB USB",,"January 31, 2022",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.4 GHz core_i7_family,16 GB DDR4,3200 MHz,512 GB SSD,Intel Iris Xe Graphics,Intel,Integrated,802.11ax,3,,HP,15-EG1073CL,15-EG1073CL,PC,Windows 11 Pro,4.84 pounds,14.18 x 9.21 x 0.7 inches,,Blue,Intel,4,DDR4 SDRAM,16 GB,Solid State,No Optical Drive,AC & Battery,1 Lithium Ion batteries required. (included)
200,B08LBR1DL4,HP 14 E14 G4 Portable Monitor,,"‎October 17, 2020",14 Inches,1920 x 1080,1920x1080,,,,,,,,,,,HP,,9662521000,,,1.4 pounds,0.6 x 12.7 x 8.3 inches,,,,,,,,,,
200,B096SP56KS,2020 Dell XPS 9310 Laptop 13.4 - Intel Core i7 11th Gen - i7-1165G7 - Quad Core 4.7Ghz - 2TB SSD - 32GB RAM - 3840x2400 4k Touchscreen - Windows 10 Home (Renewed),,"June 7, 2021",13.4 Inches,,3840x2400 MP,1.2 GHz core_i7,32 GB DDR4,,2000 GB SSD,Intel Integrated Graphics,Intel,Integrated,Bluetooth,,,Dell,XPS 9310 Laptop,XPS 9310 Laptop,PC,Windows 10 Home,2.64 pounds,7.82 x 11.64 x 0.58 inches,,White,Intel,4,DDR4 SDRAM,,Solid State,,,1 Lithium Ion batteries required. (included)
200,B09B195RP1,"Lenovo Tab P11 Plus - 2022 - Long Battery Life - 11"" 2K Display - Front 8 MP & Rear 13MP Camera - 4GB Memory - 128GB Storage - Android 11 or Later - Keyboard Included",$323.52,"July 21, 2021",11 Inches,,2000 x 1200,2.05 GHz,4 GB,,128 GB,,,Integrated,"5 GHz Radio Frequency, 801.11ac, 2.4 GHz Radio Frequency",,15 Hours,Lenovo,Tab P11 Plus,ZA940023US,Android,Android 11,1.08 pounds,10.17 x 6.42 x 0.3 inches,,Gray,MediaTek,,,128 GB,,,,1 Lithium Ion batteries required. (included)
200,B09C2H3SY7,"Lenovo ThinkPad P17 G2 20YU001LUS 17.3"" Mobile Workstation - Full HD - 1920 x 1080 - Intel Core i7 11th Gen i7-11850H Octa-core (8 Core) 2.50 GHz - 8 GB RAM - 512 GB SSD - Black","$2,049.00","August 6, 2021",17.3 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.5 GHz core_i7_family,8 GB DDR4,2.5 GHz,512 GB SSD,NVIDIA T1200,NVIDIA,T1200,"Bluetooth, 802.11ax",,,Lenovo,ThinkPad P17 G2,20YU001LUS,PC,Windows 10 Pro,3.9 pounds,9.8 x 14.2 x 0.7 inches,,Black,Intel,1,DDR4 SDRAM,512 GB,,No,,1 Lithium Ion batteries required.
200,B096SLNW53,"Dell Latitude 7000 7520 15.6"" Notebook - Full HD - 1920 x 1080 - Intel Core i5 11th Gen i5-1135G7 Quad-core (4 Core) 2.40 GHz - 16 GB RAM - 256 GB SSD - Black","$2,454.88","June 7, 2021",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.4 GHz core_i5_family,16 GB LPDDR4X,,256 GB SSD,Intel Iris Xe Graphics,Intel,Iris Xe Graphics,"Bluetooth, 802.11ax",,,Dell,Latitude 7000,7520,PC,Windows 10 Pro,3.4 pounds,9 x 14.1 x 0.69 inches,,Black,Intel,1,DDR4 SDRAM,256,,,Battery Powered,
