page.status_code,ID,Name,Price,Release_Date,Standing screen display size,Screen Resolution,Max Screen Resolution,Processor,RAM,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 3.0 Ports,Average Battery Life (in hours),Brand,Series,Item model number,Hardware Platform,Operating System,Item Weight,Product Dimensions,Item Dimensions LxWxH,Color,Processor Brand,Number of Processors,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Optical Drive Type,Power Source,Batteries
200,B0B778QVGV,"Dell Latitude 5000 5520 15.6"" Notebook - Full HD - 1920 x 1080 - Intel Core i7 11th Gen i7-1185G7 Quad-core (4 Core) 3 GHz - 8 GB Total RAM - 256 GB SSD - Titan Gray","$2,199.00","July 21, 2022",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,3 GHz core_i7,,,256 GB SSD,Intel Iris Xe Graphics,Intel,Iris Xe Graphics,,,,Dell,Latitude 5000,5520,PC,Windows 10 Pro,3.51 pounds,19.4 x 12.7 x 2.9 inches,,Titan Gray,Intel,1,,,,No,,
200,B07PPQR2SX,"Dell Latitude 3190 Intel Celeron N4100 X4 2.4GHz 4GB 64GB 11.6in Win10, Black (Renewed)",$129.99,"February 25, 2019",11.6 Inches,,,2.4 GHz celeron,4 GB DDR4,,Emmc,,Intel,Integrated,"Bluetooth, 802.11abg",,,Dell,Dell Latitude,,,Windows 10,2.79 pounds,11.94 x 8.11 x 0.82 inches,,,Intel,4,DDR4 SDRAM,64 GB,,,,1 Lithium Ion batteries required. (included)
200,B09JL3QXGX,"Lenovo ThinkBook 15p G2 ITH 21B1001JUS 15.6"" Notebook - Full HD - 1920 x 1080 - Intel Core i5 11th Gen i5-11400H Hexa-core (6 Core) 2.70 GHz - 16 GB RAM - 512 GB SSD - Mineral Gray",,"October 15, 2021",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.7 GHz core_i5_family,,2.7 GHz,512 GB SSD,NVIDIA GeForce GTX 1650,NVIDIA,GeForce GTX 1650,"Bluetooth, 802.11ax",,,Lenovo,ThinkBook 15p G2 ITH,21B1001JUS,PC,Windows 11 Pro,4.19 pounds,9.8 x 14.1 x 0.78 inches,,Mineral Gray,Intel,1,DDR4 SDRAM,512 GB,,No,Battery Powered,
200,B06ZYS5N47,"Lenovo 15.6-Inch High Performance Laptop PC, Intel Dual-Core N3060 Processor, 4GB DDR3 RAM, 500GB Hard Drive, DVD RW, HDMI, Wi-Fi, Bluetooth, Webcam, HDMI, USB 3.0, Windows 10",,"April 18, 2017",15.6 Inches,,,,4 GB,1600 MHz,500 GB,AMD Radeon R4,AMD,Dedicated,Bluetooth,,3 Hours,Lenovo,,B06ZYS5N47,,Windows 10 Home,11.5 ounces,,,,Intel,2,SDRAM,,,,Battery Powered,1 Lithium Polymer batteries required. (included)
200,B09QMJNNMY,"HP 15 Series 15.6"" Touchscreen Laptop Intel Core i3-1115G4 8GB RAM 256GB SSD Natural Silver - 11th Gen i3-1115G4 Dual-core - Integrated Intel UHD Graphics - 25 GB Dropbox Storage for 12 Months -",,"January 18, 2022",15.6 Inches,1366 x 768,1366 x 768 Pixels,3 GHz core_i3,8 GB DDR4,,256 GB SSD,Intel UHD Graphics,Intel,Integrated,"Bluetooth, 802.11a",,,HP,Dell Precision,15-dy2046nr,,Windows 11 Home,4.8 pounds,19 x 12 x 2.8 inches,,,Intel,2,DDR4 SDRAM,,,,Battery Powered,
200,B09F5SHRTB,Dell Inspiron 3000 15” Laptop Intel Celeron – 256GB SSD – 8GB DDR4 – 1.8GHz - Intel UHD Graphics - Windows 10 PRO- Inspiron 15 3000 Series - New,,"September 1, 2021",15.6 Inches,1366x768,1366 x 768 Pixels,1.8 GHz celeron_n,12 GB DDR4,2666 MHz,1 TB Hybrid,Intel UHD Graphics,Intel,Integrated,801.11ac,2,,Dell,Dell Inspiron,Dell Inspiron 3000,PC,Windows 10 Pro,6.33 pounds,19.37 x 12.91 x 2.91 inches,,Black,Intel,2,DDR4 SDRAM,256 GB,ATA,,AC & Battery,
200,B098M1H8CW,"Lenovo IdeaPad 14"" Laptop, HD Anti-Glare 220nits Laptop for Students, AMD Athlon Silver 3050e, 4GB RAM, 256GB SSD, 1 Year Office 365 Personal, Webcam, USB-C, HDMI, Windows 10, TWE Bundle",$299.00,"July 4, 2021",14 Inches,,1366x768 Pixels,2.8 GHz amd_a_series,4 GB DDR4,2.8 GHz,256 GB SSD,Integrated AMD Radeon Graphics,AMD,Integrated,Infrared,,,Lenovo,Lenovo Ideapad,IdeaPad 1,PC,Windows 10 S,3.09 pounds,12.88 x 9.25 x 0.78 inches,,Ice Blue,AMD,2,DDR4 SDRAM,256 GB,Solid State,,,
200,B08RY69MX4,"2021 HP Premium Chromebook 14"" HD Touchscreen Laptop, Intel Celeron N3350 Dual-core (up to 2.4GHz), 4GB RAM, 32GB eMMC, 10+ Hours Battery, HD Webcam, USB-A&C, Chrome OS, WiFi w/Marxsol Cables",$279.00,"January 4, 2021",14 Inches,,1366 x 768 Pixels,1.1 GHz celeron,4 GB DDR3,,32 GB SSD,Intel HD Graphics 500,Intel,Integrated,Bluetooth,,,HP,HP Premium Touchscreen Chromebook,HP Premium touchscreen Chromebook,PC,Chrome OS,3.4 pounds,13.3 x 8.9 x 0.7 inches,,Gray,Intel,2,DDR3 SDRAM,32 GB,Solid State,,AC & Battery,1 Lithium Ion batteries required. (included)
200,B07M8JD21Z,"HP 255 G7 15.6"" LCD Notebook - AMD (7th Gen) A6-9225 Dual-core (2 Core) 2.60 GHz - 8 GB DDR4 SDRAM - 256 GB SSD - Windows 10 Pro 64-bit (English) - 1366 x 768 - AMD Radeon R4 Graphics DDR4 SDRAM",$199.99,"January 6, 2019",15.6 Inches,1366 x 768,1366 x 768 Pixels,8032,8 GB DDR4,2.6 GHz,SSD,AMD Radeon R4,Intel,"Integrated, Dedicated",Bluetooth,,10.5 Hours,HP,5YK66UT#ABA,5YK66UT#ABA,,Windows 10 Pro,3.9 pounds,2.7 x 12 x 19.1 inches,,,AMD,1,DDR4 SDRAM,256 GB,USB 2.0/3.0,,Corded Electric,1 12V batteries required.
200,B08M6L77ZB,"HP 13.3"" EliteBook x360 830 G7 Multi-Touch 2-in-1 Laptop, Intel Core i7-10510U Quad-Core, 16GB DDR4 RAM, 512GB SSD, Windows 10 Pro (1D0E6UT#ABA)",,"October 29, 2020",13.3 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,1.8 GHz core_i7,16 GB DDR4,1.8 GHz,512 GB SSD,Intel UHD Graphics,Intel,Integrated,"Infrared, 802.11ax",,,HP,EliteBook x360 830 G7,1D0E6UT#ABA,PC,Windows 10 Pro,4.64 pounds,12.74 x 8.45 x 0.7 inches,,,Intel,1,DDR4 SDRAM,512 GB,Serial ATA,,,
