page.status_code,ID,Name,Price,Release_Date,Standing screen display size,Screen Resolution,Max Screen Resolution,Processor,RAM,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 3.0 Ports,Average Battery Life (in hours),Brand,Series,Item model number,Hardware Platform,Operating System,Item Weight,Product Dimensions,Item Dimensions LxWxH,Color,Processor Brand,Number of Processors,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Optical Drive Type,Power Source,Batteries
200,B0BB97XSNG,"2022 Lenovo ThinkPad E15 Gen 2 Business Laptop 15.6"" FHD IPS Display Intel i7-1165G7 Iris Xe Graphics 32GB DDR4 2TB M.2 NVMe SSD Backlit KB w/ FP Reader Thunderbolt 4 WiFi 6 Windows 11 Pro",,"August 19, 2022",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.9 GHz core_i7_family,32 GB DDR4,,2 TB SSD,Intel Iris Xe Graphics,Intel,Integrated,802.11ax,2,,Lenovo,ThinkPad E15 Gen 2,20TD,PC,Windows 11 Pro,3.74 pounds,14.37 x 9.45 x 0.74 inches,,Black,Intel,4,DDR4 SDRAM,,PCIE x 4,,AC & Battery,
200,B0BB8FQLQ1,"2022 Lenovo ThinkPad E15 Gen 2 Business Laptop 15.6"" FHD IPS Display Intel i7-1165G7 Iris Xe Graphics 16GB DDR4 1TB M.2 NVMe SSD Backlit KB w/ FP Reader Thunderbolt 4 WiFi 6 Windows 10 Pro",,"August 19, 2022",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.8 GHz core_i7_family,16 GB DDR4,,1 TB SSD,Intel Iris Xe Graphics,Intel,Integrated,802.11ax,2,,Lenovo,ThinkPad E15 Gen 2,20TD,PC,Windows 10 Pro,3.74 pounds,14.37 x 9.45 x 0.74 inches,,Black,Intel,4,DDR4 SDRAM,,PCIE x 4,,AC & Battery,
200,B06Y3879V6,"Dell XPS9360-7697SLV-PUS XPS 13 9360 13.3"" Quad HD+ InfinityEdge Touch Notebook Computer, Intel Core i7-7560U, 16GB RAM, 512GB SSD, Windows 10 Home",$989.00,"April 6, 2017",13.3 Inches,,,core_i7,16 GB DDR3,,SSD,,Intel,Integrated,802.11ac,,,Dell,,XPS9360-7697SLV-PUS,,Windows 10 Home,2.7 pounds,7.8 x 11.98 x 0.6 inches,,,Intel,1,Unknown,512,,,,1 Lithium Ion batteries required. (included)
200,B08QLFFCJ4,"Dell Gaming G15 5510, 15.6 Inch RTX 3060 Gaming Laptop Full HD - Intel Core i7-10870H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce RTX 3060 6GB GDDR6, Windows 10 Home - Grey","$1,458.99","December 14, 2020",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.2 GHz core_i7,16 GB DDR4,2933 MHz,512 GB SSD,NVIDIA GeForce RTX 3060,NVIDIA,NVIDIA GeForce RTX3060,Bluetooth,3,,Dell,Dell G15 5510,G15-7900GRY-PUS,PC,Windows 10 Home,5.39 pounds,10.4 x 14.1 x 0.98 inches,,Grey,Intel,8,SODIMM,512 GB,Solid State,No Optical Drive,,1 Lithium Ion batteries required. (included)
200,B07RV3YD3H,"Dell Latitude 5000 5500 15.6"" Notebook - 1920 X 1080 - Core i7 i7-8665U - 8GB RAM - 256GB SSD",$600.00,"May 14, 2019",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,1.9 GHz 8032,,,256 GB SSD,Intel UHD Graphics 620,Intel,Integrated,802.11ac,,,Dell,Latitude 5500,94RVX,PC,Windows 10,6 pounds,9.3 x 14.1 x 0.8 inches,,Charcoal Black,Intel,1,Unknown,256 GB,Unknown,,AC & Battery,1 Lithium Ion batteries required. (included)
200,B08L733KPP,"Lenovo Chromebook Flex 3, 2-in-1, 11.6"" Touch Screen, MT8173",$114.99,"October 15, 2020",,,,,,,,,,,,,,,,82HGOOOOUS,,,7 ounces,17.3 x 11.6 x 2.7 inches,,,,,,,,,,1 Lithium Polymer batteries required. (included)
200,B06X9QQ8YS,Dell Chromebook 11 3180 D44PV 11.6-Inch Traditional Laptop (Black),$44.00,"February 24, 2017",11.6 Inches,,1366x768 Pixels,1.6 GHz,2 GB DDR4,,SSD,Intel HD Graphics 400,Intel,Integrated,802.11g,2,10 Hours,Dell,Dell Chromebook 11 3180 D44PV,D44PV,,Chrome OS,4.65 pounds,16.8 x 11 x 2.9 inches,,Black,Intel,2,Unknown,16,,,Battery Powered,1 A batteries required. (included)
200,B09W15GRJS,"2022 HP 14'' HD Stream, Windows 11, Intel Celeron N4000 Processor, 4GB RAM, 64GB SSD, HDMI, Blue (Renewed) (Blue) (HP Stream 14)",$199.99,"March 20, 2022",14 Inches,,,,4 GB DDR4,,,,Intel,Integrated,"Bluetooth, 802.11a",,,HP,,HP Stream 14,,Windows 11,4.49 pounds,12.9 x 8.9 x 0.9 inches,,,Intel,,DDR SDRAM,,,,,
200,B08XYF2VN3,"Dell Latitude 7280 12.5-inch HD, Core i5 6200U 2.3GHz, 8GB RAM, 512GB M.2-SATA, Windows 10 Pro 64Bit, CAM (Renewed)",$212.67,"March 3, 2021",12.5 Inches,,,2.3 GHz core_i5,8 GB,2.3 GHz,512 GB,,Intel,,,,1 Hours,Dell,Dell Latitude,7280,,Windows 10 Pro,2.6 pounds,8.19 x 12.01 x 0.71 inches,,Black,Intel,,DDR4 SDRAM,,USB,,,
200,B08G15NFQW,"Lenovo IdeaPad 5 Laptop: 10th Gen Core i5-1035G1, 16GB RAM, 1TB SSD, 15.6"" Full HD IPS Touchscreen",$725.00,"August 17, 2020",15.6 Inches,1920 x 1080 pixels,1920x1080 Pixels,3.6 GHz core_i5,16 GB SO-DIMM,3200 MHz,1 TB SSD,Intel UHD Graphics,Intel,Integrated,802.11ac,2,9 Hours,Lenovo,81YK00CGUS,81YK00CGUS,PC,Windows 10,4.44 pounds,14.1 x 9.1 x 0.75 inches,,Graphite gray,Intel,4,DDR4 SDRAM,1 TB,Solid State,,Battery Powered,1 Lithium Ion batteries required. (included)
200,B07DBWZ23D,"New Gaming Dell XPS 15 2-in-1 9575 8th Gen Intel Core i7-8705G Radeon RX Vega M 4GB 15.6"" 4K UHD Touch Thunderbolt 3 Dell Active Pen Plus Best Notebook Pen Light Black (256GB SSD|16GB RAM|10 Home)","$1,699.00","September 8, 2018",15.6 Inches,,,,16 GB,,256 GB SSD,,AMD,Dedicated,802.11ac,,,Dell,Dell XPS,,,Windows 10,4.4 pounds,,,Black,Intel,4,SODIMM,16 GB,,,,
200,B09LJRJWHY,"2022 HP Stream 14inch Laptop, Intel Celeron N4020 Dual-Core Processor, 4GB DDR4 Memory, 192GB Storage(64GB eMMC+128GB Card), Webcam, Bluetooth,1-Year Microsoft 365, Win10 S, Snow White | TGCD Bundle",$285.95,"November 12, 2021",14 Inches,,,2.8 GHz celeron,4 GB DDR4,2.8 GHz,64 GB Emmc,,Intel,,"Bluetooth, 802.11a",,"14.0, 11.0 Hours",HP,HP Stream,Stream 14 White,,Windows 10 sekunda,4.51 pounds,,,Snow White,Intel,2,DDR4 SDRAM,128 GB,USB 3.1,,Battery Powered,
200,B09H3YPFN3,"Lenovo ThinkPad T15g Gen 2 20YS002RUS 15.6"" Notebook - Full HD - 1920 x 1080 - Intel Core i7 11th Gen i7-11850H Octa-core (8 Core) 2.50 GHz - 16 GB RAM - 512 GB SSD - Black","$3,049.00","September 25, 2021",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.5 GHz core_i7_family,16 GB DDR4,2.5 GHz,512 GB SSD,NVIDIA GeForce RTX 3080,NVIDIA,GeForce RTX 3080,"Bluetooth, 802.11ax",,,Lenovo,ThinkPad T15g Gen 2,20YS002RUS,PC,Windows 10 Pro,6.33 pounds,14.8 x 9.9 x 0.96 inches,,Black,Intel,1,DDR4 SDRAM,512 GB,,,,1 Lithium Ion batteries required.
